disp,relative_time
0.6025081885993562,0.0
0.6036780355862841,0.02
0.6031176899952734,0.04
0.6063808423940058,0.06
0.6240517367043775,0.08
0.6291291995290524,0.1
0.6190270917804427,0.12
0.6345418351189426,0.14
0.6636739861175722,0.16
0.6861290949074452,0.18
0.7102529488295518,0.2
0.735978362573335,0.22
0.7685173901410285,0.24
0.8108036786538654,0.26
0.8150090097971845,0.28
0.8191164788363822,0.3
0.8242468438148499,0.32
0.8247510837946743,0.34
0.8238277190737707,0.36
0.8130936411246108,0.38
0.8080761743217384,0.4
0.8029555449202576,0.42
0.8015821267574812,0.44
0.8016074205682417,0.46
0.8094274993530884,0.48
0.8080527136483601,0.5
0.8087968968091622,0.52
0.8278093167170076,0.54
0.8249995275218568,0.56
0.8201490594448082,0.58
0.8023416014417574,0.6
0.7818832920554852,0.62
0.7697443865636623,0.64
0.7509736726327341,0.66
0.7482961939834565,0.68
0.7542218039886466,0.7000000000000001
0.771892451085802,0.72
0.7699213367521087,0.74
0.766982799235295,0.76
0.7684172169645789,0.78
0.7635710970824326,0.8
0.7764337148453591,0.8200000000000001
0.7843941602327607,0.84
0.7895317330196693,0.86
0.7955476099021848,0.88
0.7945157474217206,0.9
0.786867703138462,0.92
0.7668610474251973,0.94
0.7587116957793365,0.96
0.744358855844003,0.98
0.7413930812669504,1.0
0.7306799123463064,1.02
0.7143673855578273,1.04
0.7104706398615909,1.06
0.7074294331407539,1.08
0.7101790629921444,1.1
0.7041182827486998,1.12
0.7045645334451991,1.14
0.7060570345553887,1.16
0.7112333335635218,1.18
0.720128785777093,1.2
0.7301050613410992,1.22
0.7492026220181935,1.24
0.7704211572912565,1.26
0.790992897702671,1.28
0.8047006384761993,1.3
0.8167647429644146,1.32
0.824621471035408,1.34
0.8347506494041351,1.36
0.8412993813400321,1.38
0.8422047774354187,1.4
0.8374133473841954,1.42
0.8472399560692045,1.44
0.8385629002803753,1.46
0.8386396903794195,1.48
0.8378478242624237,1.5
0.8352751797972019,1.52
0.832534429857986,1.54
0.8402469053887286,1.56
0.8411215520471321,1.58
0.8437512710874661,1.6
0.8604396215961875,1.62
0.8580973932594317,1.64
0.8707766875570038,1.66
0.8740709301484614,1.68
0.874961891509791,1.7
0.8734886292319495,1.72
0.8840965421904857,1.74
0.8903411380099546,1.76
0.8983887694018695,1.78
0.9049580625637654,1.8
0.9157385189943872,1.82
0.9178011788436784,1.84
0.9090096683279706,1.86
0.8921675370705534,1.88
0.887678953983109,1.9
0.893384987961717,1.92
0.8956200726642136,1.94
0.8959887749517825,1.96
0.8972592329274455,1.98
0.9108372413196764,2.0
0.9175794865024316,2.02
0.9214517204454348,2.04
0.918670319282507,2.06
0.9219816931525008,2.08
0.92717717643452,2.1
0.9340656737435163,2.12
0.9457587412778288,2.14
0.9687309202271928,2.16
0.9888017707871272,2.18
1.0,2.2
0.9952314726633888,2.22
0.9787567774067198,2.24
0.9486501534227356,2.26
0.93094652932157,2.28
0.9186667240962278,2.3000000000000003
0.9038130826521324,2.32
0.9001719610957195,2.34
0.8897033515882119,2.36
0.8822316683840713,2.38
0.8750505645999681,2.4
0.8646139214221351,2.42
0.8550951506230875,2.44
0.8609643229416959,2.46
0.8522337422566694,2.48
0.8291951815638106,2.5
0.827377943041777,2.52
0.815363446554908,2.54
0.8029599810774908,2.56
0.7902414537286114,2.58
0.7698933858059943,2.6
0.7513257265781579,2.62
0.7386089697253223,2.64
0.7284581103860155,2.66
0.7216423089389904,2.68
0.7361111709185979,2.7
0.7366058226026916,2.72
0.7347256078208375,2.74
0.7344713749622568,2.76
0.7259120475713026,2.78
0.7153322562370675,2.8000000000000003
0.7088670175715595,2.82
0.7001442583689932,2.84
0.6940753541537391,2.86
0.6943726704703473,2.88
0.6964617957148741,2.9
0.7015634062300152,2.92
0.7003003253530143,2.94
0.7085856713656864,2.96
0.7111932414725181,2.98
0.7247900507636729,3.0
0.7285344534330446,3.02
0.7281975239938326,3.04
0.7225063443278883,3.06
0.7133877090122983,3.08
0.7116490873615297,3.1
0.7031433958152432,3.12
0.6989630105116577,3.14
0.6906346523562747,3.16
0.6968771956408183,3.18
0.6955477177066095,3.2
0.6926526245646012,3.22
0.695662388690242,3.24
0.702881240148963,3.26
0.7191399515254124,3.28
0.732157665472889,3.3000000000000003
0.7417788896518248,3.3200000000000003
0.7472249085777171,3.34
0.7452130315647622,3.36
0.7427970806683156,3.38
0.7398939855472815,3.4
0.7417181370913508,3.42
0.7428037283801555,3.44
0.7444231692051257,3.46
0.7459330782792783,3.48
0.7490295355034382,3.5
0.7462158925682046,3.52
0.7448006014420548,3.54
0.7463530201822641,3.56
0.746471638428116,3.58
0.7496002279811154,3.6
0.7496421067265512,3.62
0.7528762203524466,3.64
0.7606646174158773,3.66
0.7704969134821239,3.68
0.7844876514546105,3.7
0.7971984261598208,3.72
0.8056929303344867,3.74
0.8188397433582691,3.76
0.8327992000055997,3.78
0.8292253427888313,3.8
0.8339883262891837,3.82
0.8346368849158077,3.84
0.8322815196832833,3.86
0.8302192428490598,3.88
0.8251563177305727,3.9
0.8231950882205379,3.92
0.8264750728410521,3.94
0.8383439665928543,3.96
0.8379133986814495,3.98
0.8437292111676811,4.0
0.8404350973189285,4.0200000000000005
0.8409874668888682,4.04
0.8374705381573814,4.0600000000000005
0.8267307427845231,4.08
0.8111966429916543,4.1
0.7899979359525318,4.12
0.7759783820289733,4.14
0.7704251208312708,4.16
0.7648285436480566,4.18
0.7701925543055096,4.2
0.7829825037695877,4.22
0.8015282809832891,4.24
