disp,time
0.9147068011936873,0.0
0.9145148149995778,0.02
0.9132967431227834,0.04
0.9132751960962429,0.06
0.9134109528608135,0.08
0.9158163094955845,0.1
0.9170806966393663,0.12
0.9184773895370162,0.14
0.9177529225895342,0.16
0.916510987615134,0.18
0.916373241313368,0.2
0.9128617775774998,0.22
0.9139637252484795,0.24
0.9130558253891216,0.26
0.9154169064036329,0.28
0.9146381500637462,0.3
0.9159327983525586,0.32
0.9158631357564683,0.34
0.9172285265694579,0.36
0.916268193937959,0.38
0.9138997778028203,0.4
0.9131205482407151,0.42
0.9130921344176979,0.44
0.9141278375735081,0.46
0.9138201916063822,0.48
0.9150320410149059,0.5
0.9134400418610159,0.52
0.9132512740948645,0.54
0.9121113607061024,0.56
0.9117607841431103,0.58
0.9111092538153268,0.6
0.9125474042951184,0.62
0.9099575599231287,0.64
0.9101683010370364,0.66
0.9114784738648692,0.68
0.9086780086305102,0.7
0.909706822602787,0.72
0.9072104969009789,0.74
0.9089840200840936,0.76
0.9069326216469019,0.78
0.9098743314307708,0.8
0.9088979755536446,0.82
0.9102988316665999,0.84
0.910298245010694,0.86
0.9092818355666367,0.88
0.9086599516611755,0.9
0.9096836634163554,0.92
0.908996750619975,0.94
0.9067492252266659,0.96
0.9089102079975092,0.98
0.9061935864456127,1.0
0.9039492512132148,1.02
0.9049208341794942,1.04
0.9025214436698203,1.06
0.9065755250829787,1.08
0.9047232113400137,1.1
0.9061196895758558,1.12
0.9038284994232485,1.14
0.9029087727094319,1.16
0.9019229753058712,1.18
0.900804955091298,1.2
0.9016131989942562,1.22
0.9006187970664529,1.24
0.8981666299226148,1.26
0.9009280169865977,1.28
0.9000270058011063,1.3
0.8980032845162665,1.32
0.8960687121199986,1.34
0.8935330232208705,1.36
0.8900335484166071,1.38
0.8911835766163768,1.4
0.8924034722768991,1.42
0.8949366768801927,1.44
0.8975461866135694,1.46
0.9002578674575878,1.48
0.9010597568797496,1.5
0.9029199905689015,1.52
0.9024104255711461,1.54
0.9039703509107364,1.56
0.9028087982162335,1.58
0.9002982158160474,1.6
0.9051928565352528,1.62
0.9070627649629399,1.64
0.90942407493467,1.66
0.9097907528871212,1.68
0.9105858034739736,1.7
0.9115008819389514,1.72
0.9101355113855156,1.74
0.911168305549076,1.76
0.912140144620189,1.78
0.9116043063203418,1.8
0.9159635290570223,1.82
0.916891527288628,1.84
0.9206651591422349,1.86
0.9198913363960535,1.88
0.9205612070632675,1.9
0.9210591048236365,1.92
0.9218375389374293,1.94
0.9222522089412111,1.96
0.9245368151851504,1.98
0.9258059574254246,2.0
0.9245109502116728,2.02
0.9243285219524828,2.04
0.9238511823978729,2.06
0.9263964208627143,2.08
0.9254696045609938,2.1
0.9294365351290578,2.12
0.9309102704756896,2.14
0.9302483617796456,2.16
0.928608961401312,2.18
0.9289757929503601,2.2
0.9270154983546798,2.22
0.9262011363880873,2.24
0.9246160257184753,2.26
0.9241043441497672,2.28
0.9217304526533492,2.3
0.9237547751608947,2.32
0.9232642660226859,2.34
0.9227942235762431,2.36
0.9220838851268622,2.38
0.9183980234425948,2.4
0.9183674608514798,2.42
0.9167480982724545,2.44
0.9165217798868183,2.46
0.9182502901665822,2.48
0.918019593721907,2.5
0.9174213536745781,2.52
0.9167002184803648,2.54
0.9152978805305392,2.56
0.9149333402296823,2.58
0.9126380017277714,2.6
0.9161686275469959,2.62
0.9161565045046477,2.64
0.9169339031323832,2.66
0.916065146246995,2.68
0.9157759619495464,2.7
0.9159486699588317,2.72
0.9155373329915608,2.74
0.915568091074312,2.76
0.9131409629830981,2.78
0.9143998848357929,2.8
0.9148147468385025,2.82
0.9145814205468981,2.84
0.9131065343486219,2.86
0.9132379834504273,2.88
0.9127193401682634,2.9
0.9126426314866395,2.92
0.9127595270420382,2.94
0.9130807911296964,2.96
0.9120880360690264,2.98
0.9114249532459958,3.0
0.9121106719410799,3.02
0.9142475419520278,3.04
0.9131928225172028,3.06
0.9111028604601143,3.08
0.9091787545468673,3.1
0.908170240026357,3.12
0.9126905633008161,3.14
0.9110274850740967,3.16
0.9102600768685798,3.18
0.9091787545468673,3.2
0.9087818534254444,3.22
0.9080965445354275,3.24
0.9084350184342112,3.26
